,unitid,year,fips,level_of_study,tuition_type,tuition_fees_ft,tuition_ft,fees_ft,credit_hour_charge_pt,tuition_published,fees_published,tuition_fees_published,tuition_pub_pct_increase,fees_pub_pct_increase,ingested_at_utc
0,100654,2021,1,1,2,10024.0,8610.0,1414.0,287.0,8610.0,1414.0,10024.0,,,2026-02-13T03:05:35
1,100654,2021,1,1,3,10024.0,8610.0,1414.0,287.0,8610.0,1414.0,10024.0,,,2026-02-13T03:05:35
2,100654,2021,1,1,4,18634.0,17220.0,1414.0,574.0,17220.0,1414.0,18634.0,,,2026-02-13T03:05:35
3,100654,2021,1,2,2,11542.0,10128.0,1414.0,422.0,,,,,,2026-02-13T03:05:35
4,100654,2021,1,2,3,11542.0,10128.0,1414.0,422.0,,,,,,2026-02-13T03:05:35
5,100654,2021,1,2,4,21574.0,20160.0,1414.0,840.0,,,,,,2026-02-13T03:05:35
6,100663,2021,1,1,2,8568.0,8568.0,0.0,357.0,8568.0,0.0,8568.0,,,2026-02-13T03:05:35
7,100663,2021,1,1,3,8568.0,8568.0,0.0,357.0,8568.0,0.0,8568.0,,,2026-02-13T03:05:35
8,100663,2021,1,1,4,20400.0,20400.0,0.0,850.0,20400.0,0.0,20400.0,,,2026-02-13T03:05:35
9,100663,2021,1,2,2,8100.0,8100.0,0.0,450.0,,,,,,2026-02-13T03:05:35
10,100663,2021,1,2,3,8100.0,8100.0,0.0,450.0,,,,,,2026-02-13T03:05:35
11,100663,2021,1,2,4,19188.0,19188.0,0.0,1066.0,,,,,,2026-02-13T03:05:35
12,100690,2021,1,1,2,9950.0,9000.0,950.0,430.0,,,,,,2026-02-13T03:05:35
13,100690,2021,1,1,3,9950.0,9000.0,950.0,430.0,,,,,,2026-02-13T03:05:35
14,100690,2021,1,1,4,9950.0,9000.0,950.0,430.0,,,,,,2026-02-13T03:05:35
15,100690,2021,1,2,2,12150.0,10800.0,1350.0,750.0,,,,,,2026-02-13T03:05:35
16,100690,2021,1,2,3,12150.0,10800.0,1350.0,750.0,,,,,,2026-02-13T03:05:35
17,100690,2021,1,2,4,12150.0,10800.0,1350.0,750.0,,,,,,2026-02-13T03:05:35
18,100706,2021,1,1,2,11488.0,9730.0,1758.0,427.0,9730.0,1758.0,11488.0,,,2026-02-13T03:05:35
19,100706,2021,1,1,3,11488.0,9730.0,1758.0,427.0,9730.0,1758.0,11488.0,,,2026-02-13T03:05:35
